player_display_name,position,team,opponent_team,stat,pp_line,player_id,player_name,season,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,target_share,wopr,fantasy_points,opponent_team,pp_delta,team_long,spread,over_under
Geno Smith,QB,SEA,NYG,passing_yards,254.5,00-0030565,G.Smith,2022.0,8.0,23.0,34.0,212.0,2.0,0.0,3.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.08,NYG,-42.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,ARI,passing_yards,254.5,00-0030565,G.Smith,2022.0,9.0,26.0,34.0,275.0,2.0,1.0,2.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.8,ARI,20.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,TB,passing_yards,254.5,00-0030565,G.Smith,2022.0,10.0,23.0,33.0,275.0,2.0,0.0,3.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.2,TB,20.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,LV,passing_yards,254.5,00-0030565,G.Smith,2022.0,12.0,27.0,37.0,328.0,2.0,1.0,3.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.32,LV,73.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,LA,passing_yards,254.5,00-0030565,G.Smith,2022.0,13.0,28.0,39.0,367.0,3.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,22.98,LA,112.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,CAR,passing_yards,254.5,00-0030565,G.Smith,2022.0,14.0,21.0,36.0,264.0,3.0,2.0,3.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.56,CAR,9.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,SF,passing_yards,254.5,00-0030565,G.Smith,2022.0,15.0,31.0,44.0,238.0,1.0,0.0,3.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.32,SF,-16.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,KC,passing_yards,254.5,00-0030565,G.Smith,2022.0,16.0,25.0,40.0,215.0,1.0,1.0,2.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12.2,KC,-39.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,NYJ,passing_yards,254.5,00-0030565,G.Smith,2022.0,17.0,18.0,29.0,183.0,2.0,0.0,4.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,17.12,NYJ,-71.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,LA,passing_yards,254.5,00-0030565,G.Smith,2022.0,18.0,19.0,31.0,213.0,1.0,2.0,3.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.62,LA,-41.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,SF,passing_yards,254.5,00-0030565,G.Smith,2022.0,19.0,25.0,35.0,253.0,2.0,1.0,3.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,,,16.92,SF,-1.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,LA,passing_yards,254.5,00-0030565,G.Smith,2023.0,1.0,16.0,26.0,112.0,1.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.08,LA,-142.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,DET,passing_yards,254.5,00-0030565,G.Smith,2023.0,2.0,32.0,41.0,328.0,2.0,0.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,23.12,DET,73.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,CAR,passing_yards,254.5,00-0030565,G.Smith,2023.0,3.0,23.0,36.0,296.0,1.0,1.0,2.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.44,CAR,41.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,NYG,passing_yards,254.5,00-0030565,G.Smith,2023.0,4.0,13.0,20.0,110.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,-2.0,0.0,-8.0,0.03846154,0.013942308,8.2,NYG,-144.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,CIN,passing_yards,254.5,00-0030565,G.Smith,2023.0,6.0,27.0,41.0,326.0,0.0,2.0,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.04,CIN,71.5,Seahawks,3.5,47.5
